"Date","LunarPhase","DailyTemp","Site","TotalCalls","TotalPreyRate"
2017-04-29,"New",16.38888889,20,76,1358
2017-04-30,"Waxing",18.88888889,44,258,464
2017-05-01,"Waxing",21.94444444,58,232,12
2017-05-02,"Waxing",23.61111111,108,232,526.67
2017-05-02,"Waxing",23.61111111,82,206,274
2017-05-03,"Waxing",24.72222222,108,222,2
2017-05-04,"Waxing",25.83333333,146,168,318.95
2017-05-05,"Waxing",28.33333333,146,215,7677.55
2017-05-06,"Waxing",28.61111111,160,213,136.14
2017-05-07,"Waxing",23.61111111,175,170,257
2017-05-09,"Full",18.33333333,216,188,1566
2017-05-10,"Full",18.33333333,244,230,502
2017-05-12,"Full",25,24,120,508.25
2017-05-13,"Full",25,52,204,1496.12
2017-05-16,"Waning",20.83333333,132,73,222.55
2017-05-20,"Waning",21.38888889,31,219,566.67
2017-05-22,"New",24.16666667,52,214,268
2017-05-23,"New",26.11111111,68,170,27.83
2017-05-25,"New",28.33333333,15,104,9.02
2017-05-27,"New",26.38888889,29,81,1050
2017-05-27,"New",26.38888889,132,169,57.27
2017-05-28,"New",26.94444444,53,193,572
2017-05-30,"Waxing",29.16666667,108,236,335
2017-05-31,"Waxing",28.61111111,139,237,460
2017-06-01,"Waxing",27.22222222,169,258,171
2017-06-08,"Full",30.83333333,52,267,2933.9
2017-06-08,"Full",30.83333333,24,170,1224
2017-06-09,"Full",31.38888889,0,123,1
2017-06-09,"Full",31.38888889,52,356,3610
2017-06-10,"Full",30.83333333,106,198,76.47
2017-06-11,"Full",30,38,157,854.9
2017-06-12,"Full",27.77777778,53,235,470.8
2017-06-13,"Waning",28.05555556,76,288,207.08
2017-06-13,"Waning",28.05555556,178,195,1343
2017-06-14,"Waning",27.77777778,88,218,75.7
2017-06-14,"Waning",27.77777778,202,250,2786.27
2017-06-15,"Waning",30.55555556,97,159,192.52
2017-06-15,"Waning",30.55555556,226,230,1532
2017-06-15,"Waning",30.55555556,11,162,1169
2017-06-16,"Waning",31.66666667,120,205,140
2017-06-16,"Waning",31.66666667,24,52,171.3
2017-06-16,"Waning",31.66666667,21,123,989
2017-06-17,"Waning",33.05555556,132,5,141.24
2017-06-17,"Waning",33.05555556,40,99,495.24
2017-06-17,"Waning",33.05555556,40,99,130.1
2017-06-18,"Waning",35,48,74,1269.47
2017-06-19,"Waning",36.66666667,165,166,533.01
2017-06-19,"Waning",36.66666667,59,69,439.09
2017-06-20,"Waning",36.94444444,190,159,13
2017-06-20,"Waning",36.94444444,65,65,741
2017-06-21,"New",35.83333333,224,119,757.01
2017-06-21,"New",35.83333333,97,16,103.7
2017-06-21,"New",35.83333333,85,63,1041.9
2017-06-21,"New",35.83333333,-3,125,1094
2017-06-22,"New",36.38888889,97,88,739
2017-06-22,"New",36.38888889,-3,160,83
2017-06-23,"New",35.27777778,11,227,286.73
2017-06-24,"New",35.83333333,146,142,1289.22
2017-06-24,"New",35.83333333,123,93,51.46
2017-06-26,"New",33.88888889,0,221,111.76
2017-06-27,"New",34.44444444,183,231,59
2017-06-27,"New",34.44444444,88,221,972.73
2017-06-27,"New",34.44444444,17,190,1624.27
2017-06-29,"Waxing",33.33333333,39,85,594.9
2017-06-30,"Waxing",33.33333333,14,231,55.24
2017-06-30,"Waxing",33.33333333,54,243,219
2017-07-01,"Waxing",33.61111111,32,125,284.78
2017-07-01,"Waxing",33.61111111,146,233,2532
2017-07-01,"Waxing",33.61111111,66,89,181.9
2017-07-01,"Waxing",33.61111111,11,152,2385
2017-07-02,"Waxing",34.72222222,48,191,21.51
2017-07-02,"Waxing",34.72222222,94,125,561.68
2017-07-02,"Waxing",34.72222222,21,69,395.1
2017-07-03,"Waxing",34.16666667,108,84,548
2017-07-03,"Waxing",34.16666667,65,148,419.42
2017-07-03,"Waxing",34.16666667,119,186,549.02
2017-07-03,"Waxing",34.16666667,35,98,732
2017-07-04,"Waxing",34.44444444,132,94,1576.53
2017-07-05,"Waxing",35,76,110,89
2017-07-05,"Waxing",35,145,68,631
2017-07-05,"Waxing",35,76,110,880
2017-07-05,"Waxing",35,108,22,1978.89
2017-07-05,"Waxing",35,135,137,357.28
2017-07-06,"Full",35,168,252,227.27
2017-07-06,"Full",35,121,178,409.57
2017-07-06,"Full",35,138,174,1963.11
2017-07-07,"Full",35.83333333,99,124,145.16
2017-07-07,"Full",35.83333333,165,115,87.38
2017-07-08,"Full",35.83333333,209,118,467.35
2017-07-08,"Full",35.83333333,109,21,56.07
2017-07-08,"Full",35.83333333,146,102,221.82
2017-07-08,"Full",35.83333333,17,152,797.2
2017-07-08,"Full",35.83333333,188,122,346.6
2017-07-09,"Full",34.16666667,119,73,9092
2017-07-09,"Full",34.16666667,31,99,1316.67
2017-07-09,"Full",34.16666667,216,24,108
2017-07-10,"Full",34.16666667,132,291,1198.98
2017-07-10,"Full",34.16666667,180,102,1137.63
2017-07-10,"Full",34.16666667,48,239,133.33
2017-07-10,"Full",34.16666667,163,198,982
2017-07-11,"Full",30.55555556,146,121,6376
2017-07-11,"Full",30.55555556,66,131,312
2017-07-11,"Full",30.55555556,163,165,193.33
2017-07-12,"Full",30.83333333,88,183,1519
2017-07-13,"Waning",32.5,12,198,760
2017-07-14,"Waning",34.44444444,119,172,543
2017-07-14,"Waning",34.44444444,199,85,113
2017-07-14,"Waning",34.44444444,0,213,618
2017-07-15,"Waning",35,220,46,847
2017-07-16,"Waning",35.83333333,242,119,167
2017-07-16,"Waning",35.83333333,30,128,44
2017-07-17,"Waning",34.44444444,48,214,58
2017-07-17,"Waning",34.44444444,58,115,744
2017-07-18,"Waning",34.16666667,279,113,1554
2017-07-19,"Waning",30.27777778,44,150,221
2017-07-19,"Waning",30.27777778,68,102,637
2017-07-19,"Waning",30.27777778,85,151,85.19
2017-07-20,"New",30.27777778,63,73,368.63
2017-07-20,"New",30.27777778,88,177,970.41
2017-07-21,"New",30.83333333,21,259,614
2017-07-21,"New",30.83333333,86,134,1421
2017-07-21,"New",30.83333333,94,125,1503.06
2017-07-22,"New",33.33333333,54,260,95
2017-07-22,"New",33.33333333,119,248,256
2017-07-22,"New",33.33333333,121,51,62.83
2017-07-23,"New",33.05555556,94,234,411
2017-07-23,"New",33.05555556,121,177,187.25
2017-07-23,"New",33.05555556,133,182,285.44
2017-07-23,"New",33.05555556,137,98,1312.04
2017-07-24,"New",30,149,243,6.86
