"agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"USGS","09402500",2017-04-29,11600,"A"
"USGS","09402500",2017-04-30,10600,"A"
"USGS","09402500",2017-05-01,9770,"A"
"USGS","09402500",2017-05-02,11600,"A"
"USGS","09402500",2017-05-03,11700,"A"
"USGS","09402500",2017-05-04,11800,"A"
"USGS","09402500",2017-05-05,11800,"A"
"USGS","09402500",2017-05-06,11800,"A"
"USGS","09402500",2017-05-07,10800,"A"
"USGS","09402500",2017-05-08,9890,"A"
"USGS","09402500",2017-05-09,11600,"A"
"USGS","09402500",2017-05-10,11600,"A"
"USGS","09402500",2017-05-11,11600,"A"
"USGS","09402500",2017-05-12,11300,"A"
"USGS","09402500",2017-05-13,11300,"A"
"USGS","09402500",2017-05-14,10500,"A"
"USGS","09402500",2017-05-15,10000,"A"
"USGS","09402500",2017-05-16,11600,"A"
"USGS","09402500",2017-05-17,11600,"A"
"USGS","09402500",2017-05-18,11700,"A"
"USGS","09402500",2017-05-19,11700,"A"
"USGS","09402500",2017-05-20,11600,"A"
"USGS","09402500",2017-05-21,10800,"A"
"USGS","09402500",2017-05-22,9940,"A"
"USGS","09402500",2017-05-23,11500,"A"
"USGS","09402500",2017-05-24,11600,"A"
"USGS","09402500",2017-05-25,11800,"A"
"USGS","09402500",2017-05-26,11900,"A"
"USGS","09402500",2017-05-27,11800,"A"
"USGS","09402500",2017-05-28,10800,"A"
"USGS","09402500",2017-05-29,9960,"A"
"USGS","09402500",2017-05-30,9980,"A"
"USGS","09402500",2017-05-31,11300,"A"
"USGS","09402500",2017-06-01,11700,"A"
"USGS","09402500",2017-06-02,13500,"A"
"USGS","09402500",2017-06-03,13700,"A"
"USGS","09402500",2017-06-04,12600,"A"
"USGS","09402500",2017-06-05,11700,"A"
"USGS","09402500",2017-06-06,13500,"A"
"USGS","09402500",2017-06-07,13600,"A"
"USGS","09402500",2017-06-08,13500,"A"
"USGS","09402500",2017-06-09,13800,"A"
"USGS","09402500",2017-06-10,13600,"A"
"USGS","09402500",2017-06-11,12700,"A"
"USGS","09402500",2017-06-12,11900,"A"
"USGS","09402500",2017-06-13,13600,"A"
"USGS","09402500",2017-06-14,13700,"A"
